"","d","control","r1","r2","r3","weight","perc_treated","precinct","municipality","t2009","inc_vs2009","challengers_vs2009","state","anal05","spri05","sdye05","see05","sagua05","srefri05","pisotie05","i_spoverty","corr33","corr66","corr100","t3_info","t2006","inc_vs2006","challengers_vs2006"
"1",0,1,0,0,0,1.2857142638187,NA,167,"CARDENAS",34.8265914916992,13.8728322982788,20.9537563323975,"27",0.120853789150715,0.252086758613586,0.0178571417927742,0,0.558673501014709,0.198979586362839,0.117346934974194,0.575754702091217,1,0,0,0.0500000007450581,34.8251762390137,15.384614944458,19.440559387207
"2",1,0,1,0,0,13.9999993741513,1,165,"CARDENAS",46.0632019042969,15.8543119430542,30.208890914917,"27",0.047510102391243,0.235212445259094,0.0172601956874132,0.0350924432277679,0.149294763803482,0.113859198987484,0.0406631976366043,-0.28549724817276,1,0,0,0.0500000007450581,40.9042549133301,18.5106391906738,22.3936176300049
"3",0,1,0,0,0,1.2857142638187,NA,96,"CARDENAS",65.0406494140625,19.1869926452637,45.8536567687988,"27",0.106596872210503,0.421248525381088,0.23781318962574,0.144903615117073,0.434095829725266,0.652955949306488,0.308196097612381,3.17829656600952,1,0,0,0.0500000007450581,57.0247917175293,23.8016529083252,33.2231407165527
"4",0,1,0,0,0,1.2857142638187,NA,65,"CARDENAS",50.5135383605957,12.6050424575806,37.9084968566895,"27",0.0247606467455626,0.213519304990768,0.0722044706344604,0.0099041536450386,0.345047920942307,0.113738022744656,0.00894568674266338,-0.201281443238258,1,0,0,0.0500000007450581,58.5987243652344,21.2920837402344,37.306640625
"5",0,1,0,0,0,1.2857142638187,NA,85,"CARDENAS",49.4440307617188,14.3810234069824,35.0630111694336,"27",0.019528416916728,0.180773884057999,0.0315038152039051,0.0258429739624262,0.0940191969275475,0.0903273522853851,0.00615308899432421,-0.649428009986877,1,0,0,0.0500000007450581,52.9933471679688,18.0339984893799,34.9593505859375
"6",0,1,0,0,0,1.2857142638187,NA,61,"CARDENAS",39.7172241210938,9.64010238647461,30.0771217346191,"27",0.0219760593026876,0.21993924677372,0.0552228875458241,0.0352628082036972,0.404524266719818,0.121756486594677,0.00266134412959218,-0.136683523654938,1,0,0,0.0500000007450581,45.3972244262695,18.6633033752441,26.7339210510254
"7",0,1,0,0,0,1.2857142638187,NA,145,"CARDENAS",57.9030990600586,20.2541694641113,37.6489295959473,"27",0.100044630467892,0.350260972976685,0.0879027396440506,0.0256702620536089,0.98174774646759,0.313138395547867,0.11150236427784,1.55641496181488,1,0,0,0.0500000007450581,50.8744049072266,14.3084259033203,36.5659790039062
"8",0,1,0,0,0,1.2857142638187,NA,156,"CARDENAS",65.3934326171875,25.8212375640869,39.572193145752,"27",0.0929761901497841,0.372526466846466,0.0113188978284597,0.0288531631231308,0.836049199104309,0.307596981525421,0.0778834894299507,1.07599115371704,1,0,0,0.0500000007450581,53.2920227050781,21.8435325622559,31.4484901428223
"9",0,1,0,0,0,1.2857142638187,NA,67,"CARDENAS",45.7142868041992,10.4285717010498,35.2857131958008,"27",0.0213853400200605,0.213718891143799,0.0587944649159908,0.0286561269313097,0.388339906930923,0.125,0.00395256886258721,-0.166127473115921,1,0,0,0.0500000007450581,54.6722450256348,17.2942810058594,37.3779640197754
"10",0,1,0,0,0,1.2857142638187,NA,141,"CARDENAS",53.8022804260254,22.1482887268066,31.6539916992188,"27",0.107018753886223,0.406610131263733,0.0588253028690815,0.151295185089111,0.689257025718689,0.564156651496887,0.288654625415802,2.5103120803833,1,0,0,0.0500000007450581,39.9235916137695,20.3438396453857,19.5797519683838
"11",0,1,0,0,0,1.2857142638187,NA,124,"CARDENAS",70.5809631347656,29.2954273223877,41.2855377197266,"27",0.101166903972626,0.337060004472733,0.238327845931053,0.0250154249370098,1,0.538512945175171,0.246050238609314,2.75791049003601,1,0,0,0.0500000007450581,60.2015113830566,22.1662464141846,38.0352630615234
"12",0,1,0,0,0,1.2857142638187,NA,129,"CARDENAS",65.7056121826172,24.2792110443115,41.4264030456543,"27",0.140077814459801,0.41333332657814,0.079365074634552,0.0204081628471613,0.0500000007450581,0.448979616165161,0.16326530277729,1.33126401901245,1,0,0,0.0500000007450581,62.3502998352051,24.0269470214844,38.3233528137207
"13",0,1,0,0,0,1.2857142638187,NA,50,"CARDENAS",42.4344329833984,14.3241424560547,28.1102886199951,"27",0.0364364236593246,0.253833621740341,0.0437997728586197,0.033845279365778,0.281285554170609,0.129408419132233,0.00824800878763199,-0.13403058052063,1,0,0,0.0500000007450581,46.6355781555176,23.650899887085,22.984676361084
"14",0,0,0,1,0,13.9999993741513,0,110,"CARDENAS",55.8909454345703,21.1781883239746,34.7127571105957,"27",0.149733796715736,0.384786307811737,0.288549035787582,0.08355762809515,0.96825635433197,0.541558623313904,0.368604063987732,3.7113254070282,1,0,0,0.0500000007450581,46.5185203552246,15.160493850708,31.358024597168
"15",NA,0,NA,NA,NA,NA,NA,660,"CARDENAS",NA,NA,NA,"27",0.0489510484039783,0.330985903739929,0.086206890642643,0,0.206896558403969,0.25862067937851,0.086206890642643,0.432907730340958,1,0,0,0.0500000007450581,NA,NA,NA
"16",0,1,0,0,0,1.2857142638187,NA,143,"CARDENAS",63.5474853515625,19.064245223999,44.4832420349121,"27",0.127782359719276,0.403553307056427,0.0226130653172731,0.0326633155345917,0.362944155931473,0.389447242021561,0.126582279801369,1.17156302928925,1,0,0,0.0500000007450581,55.5323600769043,24.0779399871826,31.454418182373
